,id,created_at,text
27,1462948258330947585,2021-11-23T00:56:59.000Z,(1) U.S. deer are catching COVID-19. What that means for our fight against the virus - National | https://t.co/AaOF20SGJZ https://t.co/zvOYjIX8fm
28,1462947741101928452,2021-11-23T00:54:56.000Z,Canada had said the policy was necessary during the COVID-19 pandemic https://t.co/PheQdMH3d8
29,1462947520041164802,2021-11-23T00:54:03.000Z,"What's wrong with OCUGEN?  OCUGEN has been given rights to sell Bharat Biotech's COVAXIN Covid-19 vaccine in US&amp;Canada.  Several days after Director of NIH, USA praised COVAXIN in a tweet, OCUGEN copies it in their own tweet,&amp;then deletes that tweet.  Why? https://t.co/rRuEYg7xjt https://t.co/JtWTSaDmHx"
30,1462947471009718274,2021-11-23T00:53:51.000Z,"@CandiceBergenMP Wow, boo to that. You had a chance to unify Canada under science and vaccination and our fight against Covid, and you chose partisanship. Shame on you."
31,1462947351937572865,2021-11-23T00:53:23.000Z,"@TheWECHU @jyduclos @Irek_K @danmac800 @BrianMasseMP @mikelisa800  Do kids under 12 have to have covid tests in Canada after returning from a 1 day Xmas visit to grandma in US, in addition to isolating for 14 days (no school or sports, no visits to anyone over 65)? @zbroeckel800"
32,1462946911074271232,2021-11-23T00:51:38.000Z,https://t.co/beBttalyFM #Germany need’s #Moderna #COVID19 #vaccine from the #USA! I’ve had that #Covidjab…wear mask but forget sometimes…I’m still #coronavirus free…GL #German #Merkel #AngelaMerkel @AngelaMerkel #UK #EU #Congress #POTUS #Canada #UN #China #Russia #UnitedStates
33,1462946723752386565,2021-11-23T00:50:53.000Z,All The New Changes To COVID-19 Restrictions #Canada #Canadaimmigration #Immigration #Expressentry #covid19restrictions https://t.co/FJkHVCAvDs
34,1462946485650313228,2021-11-23T00:49:57.000Z,"While ‘covid unvaccinated’ are unable to leave the country, illegals can freely enter Canada at an illegal point of entry.... https://t.co/ggy0kbFMtW"
35,1462946305290878978,2021-11-23T00:49:14.000Z,@PnPCBC Just dont forget that kids will still be able to catch and spread it once vaccinated   More people 60+ who have been vaccinated have died form covid than total children have in Canada
36,1462946094803996674,2021-11-23T00:48:23.000Z,COVID-19: Canada officially scraps PCR test requirement for short trips ... https://t.co/xgqYNQQDsV via @YouTube
37,1462946007394697222,2021-11-23T00:48:03.000Z,"Canada Ends COVID-19 Policy Turning Back Asylum-seekers Between Border Crossings Canada is ending its pandemicera policy of turning back asylumseekers trying to cross into the country between ports of entry, according to... #World by #News18 https://t.co/yRfjbYzrPU"
38,1462945498067873794,2021-11-23T00:46:01.000Z,The COVID-19 vaccine roll out for kids under 12 is a huge milestone. 💯   It is also another stark reminder of the extraordinary measures &amp; urgent pace that govts haven't taken to protect the 17+ people who die every day in Canada from harmful drug policy &amp; the toxic drug supply. https://t.co/OMUoCp43LV
39,1462945262989631493,2021-11-23T00:45:05.000Z,"@Anon7611 @sciblue27 In Canada, our government distributed cash to the masses for covid, did they not do that in the US too? But, the same ruling elite also shut down most small businesses, so the only place to spend the $ was with  government's best CEO oligopoly buddies"
40,1462945077186101250,2021-11-23T00:44:21.000Z,"SK: Vaccines start Wednesday, in schools even!  https://t.co/P1S0jRSR4t"
41,1462944011396661254,2021-11-23T00:40:07.000Z,@CanBorder Don't believe this tweet.  People are still being stopped at the border and told they will be fined if they don't have PCR test results. https://t.co/ksdCN226RN
42,1462943823810613255,2021-11-23T00:39:22.000Z,"If you are doing this, please be sure you are up to date with all the vaccine and testing requirements.  Entering the US: https://t.co/c66JUWouYo  Returning to Canada: https://t.co/NMeD2NORmQ"
43,1462943254408744962,2021-11-23T00:37:06.000Z,How to book a COVID-19 vaccine for your child in Ottawa | CBC News https://t.co/E7pMftBNUH
44,1462943085311270915,2021-11-23T00:36:26.000Z,“....scientists say that finding the virus in wild animals could spell the end for any hopes of completely eliminating COVID-19 in humans.”  What planet do these people live on? There was never a beginning.  https://t.co/5W8zgeHVIG
45,1462942843731943429,2021-11-23T00:35:28.000Z,"@Melietcetera @JustinTrudeau @AnthonyRota In Covid times it makes sense. No one knows nothing. I adore Canada, not sure whether because of or despite this tradition."
46,1462942774605451269,2021-11-23T00:35:12.000Z,"@martinmacmahon @CityNewsVAN This PCR test requirement is ridiculous. I paid $300 USD to get a PCR test on Saturday to fly back to Canada yesterday only to have the CBSA agent refer me for random Covid testing upon arrival in Toronto resulting in me missing my connecting flight. Also, I’m fully vaccinated!"
47,1462942750362451978,2021-11-23T00:35:06.000Z,@MBGov The government continues to hold back covid meds until people are hospitalized. Someone should go to jail for that decision   1. Early detection  2. Early treatment  But not in Canada
48,1462942484393197571,2021-11-23T00:34:03.000Z,COVID-19 vaccinations for kids in Hamilton can be booked starting Tuesday https://t.co/8pZDNN7klO https://t.co/pp5VcycxEt
49,1462941932850716677,2021-11-23T00:31:51.000Z,"From November 30th, we don't need to take any PCR test when we come back from short trips within 72hours like a weekend trip to the US! 🙌 but there can be long lines at the border...  #canada  #landborder  #nopcrtest  #weekendtrip   https://t.co/dCFzuF9mBk"
50,1462941838449467393,2021-11-23T00:31:29.000Z,@Garland2018 @Worldisscary @FilomenaTassi @richardzussman @UPS_Canada @JustinTrudeau @jyduclos @AnitaOakville @pfizer Wow how many 5-11 year olds have gotten myocarditis from covid?!
51,1462941752550215680,2021-11-23T00:31:08.000Z,"#DiggstownCBC Here in Europe, Covid is coming back with a vengeance (fifth wave). Is this an concern for the filming industry in Canada as well, for future fliming?"
52,1462941694987538433,2021-11-23T00:30:54.000Z,U.S. deer are catching COVID-19. What that means for our fight against the virus  https://t.co/VEL9OhFeZD
53,1462941517903974403,2021-11-23T00:30:12.000Z,Canada ends COVID-19 policy turning back asylum-seekers between border crossings https://t.co/B9A9BnQglH https://t.co/btrxpbLAFQ
54,1462941467362697216,2021-11-23T00:30:00.000Z,.@UBCONursing professor Dr. @marietarrant commented on vaccinating school-aged children to control the spread of COVID-19. via @globeandmail https://t.co/9sUuCc0mg6
