,id,created_at,text
0,1464081052675330048,2021-11-26T03:58:18.000Z,"@PierrePoilievre You couldn’t be more wrong, if you listened to the number, Canada is doing far better then any other country. Also, the inflation is caused by covid since restrictions are being lifted."
1,1464080855136026625,2021-11-26T03:57:31.000Z,"“#COVID spikes: Europe’s surges could signal what’s to come in Americas, says Pan American Health Organization” —AND this doesn’t even account for #B11529  #Nu #variant 😖 #COVID19  https://t.co/zBKDubEWOV"
2,1464080238447525892,2021-11-26T03:55:04.000Z,"Ugh, Canada fighter news and new Covid variant....it may not be a good day tomorrow for $ba...it may break the triangle in a BAD way.....lets hope not 😯"
3,1464079789912907781,2021-11-26T03:53:17.000Z,"As cases climb in Americas, health agency warns Europe’s covid surge could be ‘window into the future’   https://t.co/mX7jUhVOm3"
4,1464079693095780360,2021-11-26T03:52:54.000Z,"As cases climb in Americas, health agency warns Europe’s covid surge could be ‘window into the future’ https://t.co/73BYeH50dM"
5,1464079646119514115,2021-11-26T03:52:43.000Z,"Stocks slip, havens rally as new COVID-19 variant spooks investors - Reuters Canada #CryptocurrencyNews #Canada  https://t.co/qI2UYE5qNR"
6,1464079417563615241,2021-11-26T03:51:49.000Z,Canada's mask guidance has changed. Here's why you might need an upgrade https://t.co/GzqTyCVWBX #iaq #COVID19
7,1464079365264732162,2021-11-26T03:51:36.000Z,"Fun fact:-  Chimpanzees’s shit works better than @pfizer .   Don’t believe me? Check out how covishield was made and % population covid rate of #india compared to #Canada or #USA  1 for monkey shit - 0 for fauci, CDC, Pfizer pffft   #Fauci  #COVID19"
8,1464079028453785601,2021-11-26T03:50:16.000Z,Yukon children will be able get their first shot of COVID-19 vaccine starting on Dec. 6  https://t.co/h8laMY8u2Y
9,1464078760295157764,2021-11-26T03:49:12.000Z,"Canada, Aus, NZ need to do this against COVID-laws. https://t.co/izbZOKW9r0"
10,1464078759242485761,2021-11-26T03:49:12.000Z,Have we heard about this worrying #COVID19 story in Canada?  https://t.co/RDCv2vCMzh
11,1464078744650457088,2021-11-26T03:49:08.000Z,"Hey #Canada, #UK, #Ireland, #USA, #France, #Germany,  etc … 👋  Without a complicit press/media, NONE of this would be possible.  None of it!  #LoseTheFear  #DoNotComply  Turn it off!   #media #MediaAreTheVirus #COVID19 https://t.co/QKwoNf6qMQ"
12,1464078702610898947,2021-11-26T03:48:58.000Z,@GaryCarrHalton you are pure Fking Evil- #Canada #COVID19
13,1464077697248903168,2021-11-26T03:44:58.000Z,"🇨🇦💉🦍 U.S.-based Zoetis, a veterinary pharmaceutical giant is donating 900 doses of an experimental COVID-19 vaccine for animals to six Canadian zoos.  https://t.co/cn90eFZjzd"
14,1464077364955078660,2021-11-26T03:43:39.000Z,#CANADA #COVID19 #Forecasting #Tidy Time Series with #fable #ensemble #forecast. All the models performed very well with #Forecast #Accuracy &gt; 95%. https://t.co/uAveZhpGPt
15,1464077333694877701,2021-11-26T03:43:32.000Z,"….a “false sense of security that vaccines have ended the pandemic and that people who are vaccinated do not need to take any other precautions.”  As cases climb in Americas, health agency warns Europe’s covid surge could be ‘window into the future’   https://t.co/zr098HHQlA"
16,1464077033672253452,2021-11-26T03:42:20.000Z,"#CANADA #COVID19 #Forecasting #Tidy Time Series with #fable #ensemble #forecast. The ARIMA performed exceptionally well, with #Accuracy &gt; 99%. All the other models also did very well with #Forecast #Accuracy &gt; 95%. https://t.co/IznfTzpQi4"
17,1464076856777318402,2021-11-26T03:41:38.000Z,Just remember.  Canada did not relent on Intellectual Property for the production of vaccines in the developing world :  #mbpoli #cdnpoli   South Africa to be put on England’s travel red list over new Covid variant  https://t.co/vijvmX4MaU
18,1464076677638676483,2021-11-26T03:40:55.000Z,"~3 million adolescents in Canada  Let's say -25% already had Covid -4% of those developed myocarditis  That's 30,000 teens.  Let's say 25% of myocarditis cases are hospitalized  That's 7,500 hospitalizations  75,000 if we use 40% instead of 4%  https://t.co/4e3nOerih0"
19,1464076668553859078,2021-11-26T03:40:53.000Z,"@wooknponub Bro. $20 for my old brand here in New Brunswick, Canada. Good thing I (pretty much) quit too two years ago (first COVID lockdown)."
20,1464076263203684352,2021-11-26T03:39:17.000Z,Ontario logs 748 new COVID-19 cases as vaccinations for kids aged 5 to 11 ramp up (CANADA) https://t.co/9xTmTydODT
21,1464076256291418112,2021-11-26T03:39:15.000Z,Fact check: COVID-19 vaccines are not causing a rise in stillbirths in Canada https://t.co/30t32jSctD
22,1464075937109131271,2021-11-26T03:37:59.000Z,WHO warns about unintended effect of vaccines — RT World News https://t.co/3oVe5uDCCy # @MonicaGandhi9 @sailorrooscout @DrEricDing @BogochIsaac @CPHO_Canada @fordnation @celliottability @theJagmeetSingh @JustinTrudeau @joerogan @MehdiHasanShow
23,1464075710931296268,2021-11-26T03:37:05.000Z,"As cases climb in Americas, health agency warns Europe’s covid surge could be ‘window into the future’   https://t.co/TME0so3L4K"
